Year,Series_ID,Series,Unit,Value
2000,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2001,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2002,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2003,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2004,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2005,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2006,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2007,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2008,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2009,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2010,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2011,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2012,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2013,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2014,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2015,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2016,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2017,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2018,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
2019,4014,"Public-private partnerships for infrastructure, commitment",Million 2019 US dollars,0
