Year,Series_ID,Series,Unit,Value
2000,2559,Children moderately or severely stunted,% of children under 5,36.9
2001,2559,Children moderately or severely stunted,% of children under 5,37.9
2002,2559,Children moderately or severely stunted,% of children under 5,39.1
2003,2559,Children moderately or severely stunted,% of children under 5,40.4
2004,2559,Children moderately or severely stunted,% of children under 5,41.7
2005,2559,Children moderately or severely stunted,% of children under 5,43.0
2006,2559,Children moderately or severely stunted,% of children under 5,44.3
2007,2559,Children moderately or severely stunted,% of children under 5,45.3
2008,2559,Children moderately or severely stunted,% of children under 5,46.2
2009,2559,Children moderately or severely stunted,% of children under 5,46.8
2010,2559,Children moderately or severely stunted,% of children under 5,47.3
2011,2559,Children moderately or severely stunted,% of children under 5,47.6
2012,2559,Children moderately or severely stunted,% of children under 5,48.0
2013,2559,Children moderately or severely stunted,% of children under 5,48.4
2014,2559,Children moderately or severely stunted,% of children under 5,48.7
2015,2559,Children moderately or severely stunted,% of children under 5,49.1
2016,2559,Children moderately or severely stunted,% of children under 5,49.4
2017,2559,Children moderately or severely stunted,% of children under 5,49.8
2018,2559,Children moderately or severely stunted,% of children under 5,50.2
2019,2559,Children moderately or severely stunted,% of children under 5,50.5
2020,2559,Children moderately or severely stunted,% of children under 5,50.7
2021,2559,Children moderately or severely stunted,% of children under 5,51.0
2022,2559,Children moderately or severely stunted,% of children under 5,51.2
