Year,Series_ID,Series,Unit,Value
2000,2568,"New HIV infections, aged 0-14","Per 100,000 population",17.0
2001,2568,"New HIV infections, aged 0-14","Per 100,000 population",20.0
2002,2568,"New HIV infections, aged 0-14","Per 100,000 population",22.0
2003,2568,"New HIV infections, aged 0-14","Per 100,000 population",23.0
2004,2568,"New HIV infections, aged 0-14","Per 100,000 population",24.0
2005,2568,"New HIV infections, aged 0-14","Per 100,000 population",24.0
2006,2568,"New HIV infections, aged 0-14","Per 100,000 population",24.0
2007,2568,"New HIV infections, aged 0-14","Per 100,000 population",24.0
2008,2568,"New HIV infections, aged 0-14","Per 100,000 population",23.0
2009,2568,"New HIV infections, aged 0-14","Per 100,000 population",20.0
2010,2568,"New HIV infections, aged 0-14","Per 100,000 population",22.0
2011,2568,"New HIV infections, aged 0-14","Per 100,000 population",21.0
2012,2568,"New HIV infections, aged 0-14","Per 100,000 population",19.0
2013,2568,"New HIV infections, aged 0-14","Per 100,000 population",19.0
2014,2568,"New HIV infections, aged 0-14","Per 100,000 population",18.0
2015,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.19
2016,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.2
2017,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.2
2018,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.19
2019,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.18
2020,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.22
2021,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.22
2022,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.23
2023,2568,"New HIV infections, aged 0-14","Per 100,000 population",0.23
2000,2685,"New HIV infections, aged 15-24","Per 100,000 population",72.0
2001,2685,"New HIV infections, aged 15-24","Per 100,000 population",78.0
2002,2685,"New HIV infections, aged 15-24","Per 100,000 population",82.0
2003,2685,"New HIV infections, aged 15-24","Per 100,000 population",80.0
2004,2685,"New HIV infections, aged 15-24","Per 100,000 population",77.0
2005,2685,"New HIV infections, aged 15-24","Per 100,000 population",73.0
2006,2685,"New HIV infections, aged 15-24","Per 100,000 population",65.0
2007,2685,"New HIV infections, aged 15-24","Per 100,000 population",56.0
2008,2685,"New HIV infections, aged 15-24","Per 100,000 population",49.0
2009,2685,"New HIV infections, aged 15-24","Per 100,000 population",44.0
2010,2685,"New HIV infections, aged 15-24","Per 100,000 population",44.0
2011,2685,"New HIV infections, aged 15-24","Per 100,000 population",45.0
2012,2685,"New HIV infections, aged 15-24","Per 100,000 population",45.0
2013,2685,"New HIV infections, aged 15-24","Per 100,000 population",45.0
2014,2685,"New HIV infections, aged 15-24","Per 100,000 population",46.0
2015,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.51
2016,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.54
2017,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.57
2018,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.65
2019,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.67
2020,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.73
2021,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.76
2022,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.8
2023,2685,"New HIV infections, aged 15-24","Per 100,000 population",0.86
2000,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",51.0
2001,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",56.0
2002,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",59.0
2003,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",57.0
2004,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",55.0
2005,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",51.0
2006,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",46.0
2007,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",39.0
2008,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",34.0
2009,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",31.0
2010,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",30.0
2011,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",31.0
2012,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",30.0
2013,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",30.0
2014,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",30.0
2015,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",0.32
2016,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",0.33
2017,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",0.34
2018,2687,"New HIV infections, aged 15-24, men","Per 100,000 population",0.38
