"Year","Series_ID","Series","Unit","Value"
"2000",2607,"Prevalence of current tobacco use","% of female aged 15 and above",36.6
"2005",2607,"Prevalence of current tobacco use","% of female aged 15 and above",33.4
"2010",2607,"Prevalence of current tobacco use","% of female aged 15 and above",30.5
"2015",2607,"Prevalence of current tobacco use","% of female aged 15 and above",28
"2020",2607,"Prevalence of current tobacco use","% of female aged 15 and above",25.9
"2022",2607,"Prevalence of current tobacco use","% of female aged 15 and above",24.9
"2000",2608,"Prevalence of current tobacco use","% of male aged 15 and above",71
"2005",2608,"Prevalence of current tobacco use","% of male aged 15 and above",67
"2010",2608,"Prevalence of current tobacco use","% of male aged 15 and above",62.7
"2015",2608,"Prevalence of current tobacco use","% of male aged 15 and above",58.9
"2020",2608,"Prevalence of current tobacco use","% of male aged 15 and above",55.4
"2022",2608,"Prevalence of current tobacco use","% of male aged 15 and above",54.3
"2000",2573,"Prevalence of current tobacco use","% of population aged 15 and above",53.8
"2005",2573,"Prevalence of current tobacco use","% of population aged 15 and above",50.2
"2010",2573,"Prevalence of current tobacco use","% of population aged 15 and above",46.6
"2015",2573,"Prevalence of current tobacco use","% of population aged 15 and above",43.5
"2020",2573,"Prevalence of current tobacco use","% of population aged 15 and above",40.7
"2022",2573,"Prevalence of current tobacco use","% of population aged 15 and above",39.6
