"Year","Series_ID","Series","Unit","Value"
"2000",871,"Victims of intentional homicide","Number",465
"2001",871,"Victims of intentional homicide","Number",436
"2002",871,"Victims of intentional homicide","Number",470
"2003",871,"Victims of intentional homicide","Number",609
"2005",871,"Victims of intentional homicide","Number",603
"2006",871,"Victims of intentional homicide","Number",610
"2007",871,"Victims of intentional homicide","Number",520
"2008",871,"Victims of intentional homicide","Number",603
"2009",871,"Victims of intentional homicide","Number",697
"2010",871,"Victims of intentional homicide","Number",713
