"Year","Series_ID","Series","Unit","Value"
"2000",317,"Debt service","% of exports of goods, services and primary income",8.03668
"2001",317,"Debt service","% of exports of goods, services and primary income",7.08632
"2002",317,"Debt service","% of exports of goods, services and primary income",7.78231
"2003",317,"Debt service","% of exports of goods, services and primary income",7.2953
"2004",317,"Debt service","% of exports of goods, services and primary income",8.38931
"2005",317,"Debt service","% of exports of goods, services and primary income",5.88045
"2006",317,"Debt service","% of exports of goods, services and primary income",3.46083
"2007",317,"Debt service","% of exports of goods, services and primary income",4.05114
"2008",317,"Debt service","% of exports of goods, services and primary income",3.12153
"2009",317,"Debt service","% of exports of goods, services and primary income",1.806
"2010",317,"Debt service","% of exports of goods, services and primary income",1.38379
"2011",317,"Debt service","% of exports of goods, services and primary income",1.33753
"2012",317,"Debt service","% of exports of goods, services and primary income",1.4044
"2013",317,"Debt service","% of exports of goods, services and primary income",1.45631
"2014",317,"Debt service","% of exports of goods, services and primary income",1.03223
"2015",317,"Debt service","% of exports of goods, services and primary income",1.08052
"2016",317,"Debt service","% of exports of goods, services and primary income",1.32882
"2017",317,"Debt service","% of exports of goods, services and primary income",1.36471
"2018",317,"Debt service","% of exports of goods, services and primary income",1.7811
"2019",317,"Debt service","% of exports of goods, services and primary income",3.80886
"2020",317,"Debt service","% of exports of goods, services and primary income",10.67457
"2021",317,"Debt service","% of exports of goods, services and primary income",5.50329
"2022",317,"Debt service","% of exports of goods, services and primary income",2.57945
