"Year","Series_ID","Series","Unit","Value"
"2000",2123,"Population using basic drinking water services","% of population",31.75456
"2001",2123,"Population using basic drinking water services","% of population",31.74152
"2002",2123,"Population using basic drinking water services","% of population",31.73085
"2003",2123,"Population using basic drinking water services","% of population",31.72019
"2004",2123,"Population using basic drinking water services","% of population",31.70893
"2005",2123,"Population using basic drinking water services","% of population",32.73958
"2006",2123,"Population using basic drinking water services","% of population",33.77066
"2007",2123,"Population using basic drinking water services","% of population",34.80218
"2008",2123,"Population using basic drinking water services","% of population",35.83414
"2009",2123,"Population using basic drinking water services","% of population",36.85912
"2010",2123,"Population using basic drinking water services","% of population",37.88026
"2011",2123,"Population using basic drinking water services","% of population",38.89704
"2012",2123,"Population using basic drinking water services","% of population",39.9105
"2013",2123,"Population using basic drinking water services","% of population",40.92717
"2014",2123,"Population using basic drinking water services","% of population",41.9467
"2015",2123,"Population using basic drinking water services","% of population",42.96877
"2016",2123,"Population using basic drinking water services","% of population",43.99303
"2017",2123,"Population using basic drinking water services","% of population",45.01918
"2018",2123,"Population using basic drinking water services","% of population",46.04734
"2019",2123,"Population using basic drinking water services","% of population",47.07673
"2020",2123,"Population using basic drinking water services","% of population",48.10702
"2021",2123,"Population using basic drinking water services","% of population",49.16923
"2022",2123,"Population using basic drinking water services","% of population",50.23518
"2000",2125,"Population using basic drinking water services","% of rural population",23.93043
"2001",2125,"Population using basic drinking water services","% of rural population",23.93043
"2002",2125,"Population using basic drinking water services","% of rural population",23.93043
"2003",2125,"Population using basic drinking water services","% of rural population",23.93043
"2004",2125,"Population using basic drinking water services","% of rural population",23.93043
"2005",2125,"Population using basic drinking water services","% of rural population",25.13111
"2006",2125,"Population using basic drinking water services","% of rural population",26.3318
"2007",2125,"Population using basic drinking water services","% of rural population",27.53248
"2008",2125,"Population using basic drinking water services","% of rural population",28.73316
"2009",2125,"Population using basic drinking water services","% of rural population",29.87485
"2010",2125,"Population using basic drinking water services","% of rural population",31.01181
"2011",2125,"Population using basic drinking water services","% of rural population",32.14404
"2012",2125,"Population using basic drinking water services","% of rural population",33.27153
"2013",2125,"Population using basic drinking water services","% of rural population",34.39429
"2014",2125,"Population using basic drinking water services","% of rural population",35.51232
"2015",2125,"Population using basic drinking water services","% of rural population",36.62562
"2016",2125,"Population using basic drinking water services","% of rural population",37.73418
"2017",2125,"Population using basic drinking water services","% of rural population",38.83802
"2018",2125,"Population using basic drinking water services","% of rural population",39.93712
"2019",2125,"Population using basic drinking water services","% of rural population",41.03148
"2020",2125,"Population using basic drinking water services","% of rural population",42.12112
"2021",2125,"Population using basic drinking water services","% of rural population",43.29341
"2022",2125,"Population using basic drinking water services","% of rural population",44.4657
"2000",2124,"Population using basic drinking water services","% of urban population",83.18615
"2001",2124,"Population using basic drinking water services","% of urban population",83.18615
"2002",2124,"Population using basic drinking water services","% of urban population",83.18615
"2003",2124,"Population using basic drinking water services","% of urban population",83.18615
"2004",2124,"Population using basic drinking water services","% of urban population",83.18615
"2005",2124,"Population using basic drinking water services","% of urban population",83.17111
"2006",2124,"Population using basic drinking water services","% of urban population",83.15607
"2007",2124,"Population using basic drinking water services","% of urban population",83.14103
"2008",2124,"Population using basic drinking water services","% of urban population",83.12599
"2009",2124,"Population using basic drinking water services","% of urban population",83.4475
"2010",2124,"Population using basic drinking water services","% of urban population",83.7689
"2011",2124,"Population using basic drinking water services","% of urban population",84.09017
"2012",2124,"Population using basic drinking water services","% of urban population",84.41132
"2013",2124,"Population using basic drinking water services","% of urban population",84.73235
"2014",2124,"Population using basic drinking water services","% of urban population",85.05325
"2015",2124,"Population using basic drinking water services","% of urban population",85.37404
"2016",2124,"Population using basic drinking water services","% of urban population",85.6947
"2017",2124,"Population using basic drinking water services","% of urban population",86.01524
"2018",2124,"Population using basic drinking water services","% of urban population",86.33566
"2019",2124,"Population using basic drinking water services","% of urban population",86.65596
"2020",2124,"Population using basic drinking water services","% of urban population",86.97613
"2021",2124,"Population using basic drinking water services","% of urban population",86.96036
"2022",2124,"Population using basic drinking water services","% of urban population",86.94459
"2000",2126,"Population using basic sanitation services","% of population",18.1421
"2001",2126,"Population using basic sanitation services","% of population",18.13217
"2002",2126,"Population using basic sanitation services","% of population",18.12404
"2003",2126,"Population using basic sanitation services","% of population",18.11591
"2004",2126,"Population using basic sanitation services","% of population",18.10733
"2005",2126,"Population using basic sanitation services","% of population",18.2143
"2006",2126,"Population using basic sanitation services","% of population",18.32151
"2007",2126,"Population using basic sanitation services","% of population",18.42894
"2008",2126,"Population using basic sanitation services","% of population",18.5366
"2009",2126,"Population using basic sanitation services","% of population",18.58365
"2010",2126,"Population using basic sanitation services","% of population",18.62994
"2011",2126,"Population using basic sanitation services","% of population",18.67508
"2012",2126,"Population using basic sanitation services","% of population",18.71988
"2013",2126,"Population using basic sanitation services","% of population",18.76937
"2014",2126,"Population using basic sanitation services","% of population",18.82328
"2015",2126,"Population using basic sanitation services","% of population",18.88129
"2016",2126,"Population using basic sanitation services","% of population",18.94311
"2017",2126,"Population using basic sanitation services","% of population",19.00846
"2018",2126,"Population using basic sanitation services","% of population",19.0774
"2019",2126,"Population using basic sanitation services","% of population",19.14929
"2020",2126,"Population using basic sanitation services","% of population",19.22383
"2021",2126,"Population using basic sanitation services","% of population",19.26172
"2022",2126,"Population using basic sanitation services","% of population",19.30473
"2000",2128,"Population using basic sanitation services","% of rural population",12.18023
"2001",2128,"Population using basic sanitation services","% of rural population",12.18023
"2002",2128,"Population using basic sanitation services","% of rural population",12.18023
"2003",2128,"Population using basic sanitation services","% of rural population",12.18023
"2004",2128,"Population using basic sanitation services","% of rural population",12.18023
"2005",2128,"Population using basic sanitation services","% of rural population",12.37899
"2006",2128,"Population using basic sanitation services","% of rural population",12.57776
"2007",2128,"Population using basic sanitation services","% of rural population",12.77652
"2008",2128,"Population using basic sanitation services","% of rural population",12.97529
"2009",2128,"Population using basic sanitation services","% of rural population",13.12462
"2010",2128,"Population using basic sanitation services","% of rural population",13.27246
"2011",2128,"Population using basic sanitation services","% of rural population",13.4188
"2012",2128,"Population using basic sanitation services","% of rural population",13.56366
"2013",2128,"Population using basic sanitation services","% of rural population",13.70702
"2014",2128,"Population using basic sanitation services","% of rural population",13.8489
"2015",2128,"Population using basic sanitation services","% of rural population",13.98928
"2016",2128,"Population using basic sanitation services","% of rural population",14.12817
"2017",2128,"Population using basic sanitation services","% of rural population",14.26556
"2018",2128,"Population using basic sanitation services","% of rural population",14.40147
"2019",2128,"Population using basic sanitation services","% of rural population",14.53589
"2020",2128,"Population using basic sanitation services","% of rural population",14.66881
"2021",2128,"Population using basic sanitation services","% of rural population",14.66881
"2022",2128,"Population using basic sanitation services","% of rural population",14.66881
"2000",2127,"Population using basic sanitation services","% of urban population",57.33225
"2001",2127,"Population using basic sanitation services","% of urban population",57.33225
"2002",2127,"Population using basic sanitation services","% of urban population",57.33225
"2003",2127,"Population using basic sanitation services","% of urban population",57.33225
"2004",2127,"Population using basic sanitation services","% of urban population",57.33225
"2005",2127,"Population using basic sanitation services","% of urban population",56.89278
"2006",2127,"Population using basic sanitation services","% of urban population",56.45331
"2007",2127,"Population using basic sanitation services","% of urban population",56.01384
"2008",2127,"Population using basic sanitation services","% of urban population",55.57437
"2009",2127,"Population using basic sanitation services","% of urban population",54.99797
"2010",2127,"Population using basic sanitation services","% of urban population",54.42375
"2011",2127,"Population using basic sanitation services","% of urban population",53.85171
"2012",2127,"Population using basic sanitation services","% of urban population",53.28186
"2013",2127,"Population using basic sanitation services","% of urban population",52.71419
"2014",2127,"Population using basic sanitation services","% of urban population",52.14871
"2015",2127,"Population using basic sanitation services","% of urban population",51.5854
"2016",2127,"Population using basic sanitation services","% of urban population",51.02428
"2017",2127,"Population using basic sanitation services","% of urban population",50.46535
"2018",2127,"Population using basic sanitation services","% of urban population",49.90859
"2019",2127,"Population using basic sanitation services","% of urban population",49.35402
"2020",2127,"Population using basic sanitation services","% of urban population",48.80163
"2021",2127,"Population using basic sanitation services","% of urban population",48.80163
"2022",2127,"Population using basic sanitation services","% of urban population",48.80163
