"Year","Series_ID","Series","Unit","Value"
"2000",3338,"Completion rate, primary education","% relevant age group, female population",48.45007
"2001",3338,"Completion rate, primary education","% relevant age group, female population",49.34073
"2002",3338,"Completion rate, primary education","% relevant age group, female population",50.1427
"2003",3338,"Completion rate, primary education","% relevant age group, female population",50.9556
"2004",3338,"Completion rate, primary education","% relevant age group, female population",51.74939
"2005",3338,"Completion rate, primary education","% relevant age group, female population",52.62312
"2006",3338,"Completion rate, primary education","% relevant age group, female population",53.50351
"2007",3338,"Completion rate, primary education","% relevant age group, female population",54.35612
"2008",3338,"Completion rate, primary education","% relevant age group, female population",55.41148
"2009",3338,"Completion rate, primary education","% relevant age group, female population",56.63655
"2010",3338,"Completion rate, primary education","% relevant age group, female population",57.9887
"2011",3338,"Completion rate, primary education","% relevant age group, female population",59.33514
"2012",3338,"Completion rate, primary education","% relevant age group, female population",60.67633
"2013",3338,"Completion rate, primary education","% relevant age group, female population",61.81199
"2014",3338,"Completion rate, primary education","% relevant age group, female population",62.83928
"2015",3338,"Completion rate, primary education","% relevant age group, female population",63.7699
"2016",3338,"Completion rate, primary education","% relevant age group, female population",64.64213
"2017",3338,"Completion rate, primary education","% relevant age group, female population",65.52182
"2018",3338,"Completion rate, primary education","% relevant age group, female population",61.65339
"2019",3338,"Completion rate, primary education","% relevant age group, female population",67.09108
"2020",3338,"Completion rate, primary education","% relevant age group, female population",67.93641
"2021",3338,"Completion rate, primary education","% relevant age group, female population",68.70713
"2022",3338,"Completion rate, primary education","% relevant age group, female population",69.59087
"2000",3221,"Completion rate, primary education","% relevant age group, male population",49.21007
"2001",3221,"Completion rate, primary education","% relevant age group, male population",49.51073
"2002",3221,"Completion rate, primary education","% relevant age group, male population",49.83271
"2003",3221,"Completion rate, primary education","% relevant age group, male population",50.1256
"2004",3221,"Completion rate, primary education","% relevant age group, male population",50.37939
"2005",3221,"Completion rate, primary education","% relevant age group, male population",50.75312
"2006",3221,"Completion rate, primary education","% relevant age group, male population",51.14351
"2007",3221,"Completion rate, primary education","% relevant age group, male population",51.46612
"2008",3221,"Completion rate, primary education","% relevant age group, male population",51.89148
"2009",3221,"Completion rate, primary education","% relevant age group, male population",52.44656
"2010",3221,"Completion rate, primary education","% relevant age group, male population",53.0187
"2011",3221,"Completion rate, primary education","% relevant age group, male population",53.59515
"2012",3221,"Completion rate, primary education","% relevant age group, male population",54.11633
"2013",3221,"Completion rate, primary education","% relevant age group, male population",54.57199
"2014",3221,"Completion rate, primary education","% relevant age group, male population",54.96928
"2015",3221,"Completion rate, primary education","% relevant age group, male population",55.2599
"2016",3221,"Completion rate, primary education","% relevant age group, male population",55.43213
"2017",3221,"Completion rate, primary education","% relevant age group, male population",55.56182
"2018",3221,"Completion rate, primary education","% relevant age group, male population",60.69594
"2019",3221,"Completion rate, primary education","% relevant age group, male population",55.86108
"2020",3221,"Completion rate, primary education","% relevant age group, male population",56.11641
"2021",3221,"Completion rate, primary education","% relevant age group, male population",56.26713
"2022",3221,"Completion rate, primary education","% relevant age group, male population",56.58087
"2000",3265,"Completion rate, primary education","% relevant age group, total population",48.85
"2001",3265,"Completion rate, primary education","% relevant age group, total population",49.43
"2002",3265,"Completion rate, primary education","% relevant age group, total population",49.98
"2003",3265,"Completion rate, primary education","% relevant age group, total population",50.52
"2004",3265,"Completion rate, primary education","% relevant age group, total population",51.03
"2005",3265,"Completion rate, primary education","% relevant age group, total population",51.64
"2006",3265,"Completion rate, primary education","% relevant age group, total population",52.26
"2007",3265,"Completion rate, primary education","% relevant age group, total population",52.83
"2008",3265,"Completion rate, primary education","% relevant age group, total population",53.55
"2009",3265,"Completion rate, primary education","% relevant age group, total population",54.42
"2010",3265,"Completion rate, primary education","% relevant age group, total population",55.36
"2011",3265,"Completion rate, primary education","% relevant age group, total population",56.3
"2012",3265,"Completion rate, primary education","% relevant age group, total population",57.21
"2013",3265,"Completion rate, primary education","% relevant age group, total population",57.99
"2014",3265,"Completion rate, primary education","% relevant age group, total population",58.69
"2015",3265,"Completion rate, primary education","% relevant age group, total population",59.29
"2016",3265,"Completion rate, primary education","% relevant age group, total population",59.8
"2017",3265,"Completion rate, primary education","% relevant age group, total population",60.29
"2018",3265,"Completion rate, primary education","% relevant age group, total population",61.14409
"2019",3265,"Completion rate, primary education","% relevant age group, total population",61.2
"2020",3265,"Completion rate, primary education","% relevant age group, total population",61.74
"2021",3265,"Completion rate, primary education","% relevant age group, total population",62.19
"2022",3265,"Completion rate, primary education","% relevant age group, total population",62.78
