"Year","Series_ID","Series","Unit","Value"
"2000",2707,"Universal health coverage, service coverage index","Index",25
"2005",2707,"Universal health coverage, service coverage index","Index",26
"2010",2707,"Universal health coverage, service coverage index","Index",33
"2015",2707,"Universal health coverage, service coverage index","Index",36
"2017",2707,"Universal health coverage, service coverage index","Index",33
"2019",2707,"Universal health coverage, service coverage index","Index",30
"2021",2707,"Universal health coverage, service coverage index","Index",30
