"Year","Series_ID","Series","Unit","Value"
"2000",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2001",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2002",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2003",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2004",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.01
"2005",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2006",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2007",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.04
"2008",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.03
"2009",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2010",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2011",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",41.25
"2012",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2013",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",7.03
"2014",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0
"2015",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",8.99
"2016",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",34.38
"2017",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.88
"2018",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.15
"2019",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.14
"2020",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.1
"2021",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",0.17
"2022",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",9.82
"2023",4447,"International support for clean energy and renewable energy","Million 2021 US dollars",18.44
