"Year","Series_ID","Series","Unit","Value"
"2015",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.27
"2016",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.27
"2017",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.27
"2018",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.1
"2019",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.1
"2020",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.1
"2021",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.1
"2022",2976,"Level of national compliance with labour rights","Score from 0 (better) to 10 (worse) compliance with labour rights",1.1
