"Year","Series_ID","Series","Unit","Value"
"2000",2571,"Malaria incidence rate","Per 1 000 population at risk",265.46299
"2001",2571,"Malaria incidence rate","Per 1 000 population at risk",253.32224
"2002",2571,"Malaria incidence rate","Per 1 000 population at risk",209.72828
"2003",2571,"Malaria incidence rate","Per 1 000 population at risk",218.88185
"2004",2571,"Malaria incidence rate","Per 1 000 population at risk",271.44
"2005",2571,"Malaria incidence rate","Per 1 000 population at risk",217.50063
"2006",2571,"Malaria incidence rate","Per 1 000 population at risk",220.87553
"2007",2571,"Malaria incidence rate","Per 1 000 population at risk",180.79021
"2008",2571,"Malaria incidence rate","Per 1 000 population at risk",165.35696
"2009",2571,"Malaria incidence rate","Per 1 000 population at risk",212.45174
"2010",2571,"Malaria incidence rate","Per 1 000 population at risk",142.32437
"2011",2571,"Malaria incidence rate","Per 1 000 population at risk",115.16534
"2012",2571,"Malaria incidence rate","Per 1 000 population at risk",155.6894
"2013",2571,"Malaria incidence rate","Per 1 000 population at risk",172.23918
"2014",2571,"Malaria incidence rate","Per 1 000 population at risk",190.67106
"2015",2571,"Malaria incidence rate","Per 1 000 population at risk",101.90155
"2016",2571,"Malaria incidence rate","Per 1 000 population at risk",135.85156
"2017",2571,"Malaria incidence rate","Per 1 000 population at risk",134.96989
"2018",2571,"Malaria incidence rate","Per 1 000 population at risk",139.53707
"2019",2571,"Malaria incidence rate","Per 1 000 population at risk",117.88396
"2020",2571,"Malaria incidence rate","Per 1 000 population at risk",150.78711
"2021",2571,"Malaria incidence rate","Per 1 000 population at risk",124.3399
"2022",2571,"Malaria incidence rate","Per 1 000 population at risk",163.66897
"2023",2571,"Malaria incidence rate","Per 1 000 population at risk",96
