"Year","Series_ID","Series","Unit","Value"
"2000",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-6.54
"2001",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-1.06
"2002",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-0.78
"2003",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",1.72
"2004",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",2.59
"2005",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",6.48
"2006",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",5.91
"2007",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",8.65
"2008",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",0.87
"2009",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",8.3
"2010",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",12.03
"2011",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-1.64
"2012",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",1.59
"2013",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",0.84
"2014",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",10.9
"2015",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",2.89
"2016",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",1.88
"2017",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",0.11
"2018",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-3.69
"2019",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",1.09
"2020",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-5.11
"2021",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",-4.15
"2022",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",1.2
"2023",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",0.53
"2024",484,"Output per worker growth rate (2015 US Dollar)","% change per annum",2.28
