"Year","Series_ID","Series","Unit","Value"
"2000",2575,"Suicide, both sexes","Per 100,000 population",2.1
"2001",2575,"Suicide, both sexes","Per 100,000 population",2.16
"2002",2575,"Suicide, both sexes","Per 100,000 population",2.22
"2003",2575,"Suicide, both sexes","Per 100,000 population",2.28
"2004",2575,"Suicide, both sexes","Per 100,000 population",2.34
"2005",2575,"Suicide, both sexes","Per 100,000 population",2.4
"2006",2575,"Suicide, both sexes","Per 100,000 population",2.44
"2007",2575,"Suicide, both sexes","Per 100,000 population",2.48
"2008",2575,"Suicide, both sexes","Per 100,000 population",2.52
"2009",2575,"Suicide, both sexes","Per 100,000 population",2.56
"2010",2575,"Suicide, both sexes","Per 100,000 population",2.6
"2011",2575,"Suicide, both sexes","Per 100,000 population",2.66
"2012",2575,"Suicide, both sexes","Per 100,000 population",2.72
"2013",2575,"Suicide, both sexes","Per 100,000 population",2.78
"2014",2575,"Suicide, both sexes","Per 100,000 population",2.84
"2015",2575,"Suicide, both sexes","Per 100,000 population",2
"2019",2575,"Suicide, both sexes","Per 100,000 population",2.1
"2020",2575,"Suicide, both sexes","Per 100,000 population",1.7
"2021",2575,"Suicide, both sexes","Per 100,000 population",1.8
"2000",2576,"Suicide, female","Per 100,000 population",1
"2001",2576,"Suicide, female","Per 100,000 population",1.06
"2002",2576,"Suicide, female","Per 100,000 population",1.12
"2003",2576,"Suicide, female","Per 100,000 population",1.18
"2004",2576,"Suicide, female","Per 100,000 population",1.24
"2005",2576,"Suicide, female","Per 100,000 population",1.3
"2006",2576,"Suicide, female","Per 100,000 population",1.32
"2007",2576,"Suicide, female","Per 100,000 population",1.34
"2008",2576,"Suicide, female","Per 100,000 population",1.36
"2009",2576,"Suicide, female","Per 100,000 population",1.38
"2010",2576,"Suicide, female","Per 100,000 population",1.4
"2011",2576,"Suicide, female","Per 100,000 population",1.44
"2012",2576,"Suicide, female","Per 100,000 population",1.48
"2013",2576,"Suicide, female","Per 100,000 population",1.52
"2014",2576,"Suicide, female","Per 100,000 population",1.56
"2015",2576,"Suicide, female","Per 100,000 population",1.6
"2019",2576,"Suicide, female","Per 100,000 population",1.7
"2020",2576,"Suicide, female","Per 100,000 population",1.4
"2021",2576,"Suicide, female","Per 100,000 population",1.4
"2000",2577,"Suicide, male","Per 100,000 population",3.2
"2001",2577,"Suicide, male","Per 100,000 population",3.26
"2002",2577,"Suicide, male","Per 100,000 population",3.32
"2003",2577,"Suicide, male","Per 100,000 population",3.38
"2004",2577,"Suicide, male","Per 100,000 population",3.44
"2005",2577,"Suicide, male","Per 100,000 population",3.5
"2006",2577,"Suicide, male","Per 100,000 population",3.54
"2007",2577,"Suicide, male","Per 100,000 population",3.58
"2008",2577,"Suicide, male","Per 100,000 population",3.62
"2009",2577,"Suicide, male","Per 100,000 population",3.66
"2010",2577,"Suicide, male","Per 100,000 population",3.7
"2011",2577,"Suicide, male","Per 100,000 population",3.8
"2012",2577,"Suicide, male","Per 100,000 population",3.9
"2013",2577,"Suicide, male","Per 100,000 population",4
"2014",2577,"Suicide, male","Per 100,000 population",4.1
"2015",2577,"Suicide, male","Per 100,000 population",2.3
"2019",2577,"Suicide, male","Per 100,000 population",2.4
"2020",2577,"Suicide, male","Per 100,000 population",2
"2021",2577,"Suicide, male","Per 100,000 population",2.2
