"Year","Series_ID","Series","Unit","Value"
"2010",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2011",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2012",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2013",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2014",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2015",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2016",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2017",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2018",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2019",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2020",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2021",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
"2022",1895,"Fossil-fuel subsidies (consumption and production)","% of GDP",0
