"Year","Series_ID","Series","Unit","Value"
"2000",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",63.05667
"2001",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",21.6774
"2002",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",20.21967
"2003",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",25.84235
"2004",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",16.90347
"2005",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",17.22041
"2006",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",13.4958
"2007",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",17.27033
"2008",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",13.00904
"2009",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",23.15397
"2010",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",22.38282
"2011",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",21.71397
"2012",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",18.59525
"2013",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",18.87543
"2014",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",31.99032
"2015",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",31.45053
"2016",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",18.95157
"2017",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",23.4909
"2018",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",45.20122
"2019",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",63.45779
"2020",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",59.1058
"2021",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",44.93612
"2022",468,"Official flows (disbursements) for agriculture, total, by recipient","Million 2022 US dollars",49.02314
