"Year","Series","Unit","Value"
"2018","New HIV infections, aged 15-24, women","Per 100,000 population",0.93
"2019","New HIV infections, aged 15-24, women","Per 100,000 population",0.98
"2020","New HIV infections, aged 15-24, women","Per 100,000 population",1.1
"2021","New HIV infections, aged 15-24, women","Per 100,000 population",1.1
"2022","New HIV infections, aged 15-24, women","Per 100,000 population",1.2
"2023","New HIV infections, aged 15-24, women","Per 100,000 population",1.3
"2000","New HIV infections, aged 15-49","Per 100,000 population",87
"2001","New HIV infections, aged 15-49","Per 100,000 population",95
"2002","New HIV infections, aged 15-49","Per 100,000 population",100
"2003","New HIV infections, aged 15-49","Per 100,000 population",97
"2004","New HIV infections, aged 15-49","Per 100,000 population",93
"2005","New HIV infections, aged 15-49","Per 100,000 population",87
"2006","New HIV infections, aged 15-49","Per 100,000 population",78
"2007","New HIV infections, aged 15-49","Per 100,000 population",67
"2008","New HIV infections, aged 15-49","Per 100,000 population",58
"2009","New HIV infections, aged 15-49","Per 100,000 population",53
"2010","New HIV infections, aged 15-49","Per 100,000 population",52
"2011","New HIV infections, aged 15-49","Per 100,000 population",54
"2012","New HIV infections, aged 15-49","Per 100,000 population",53
"2013","New HIV infections, aged 15-49","Per 100,000 population",53
"2014","New HIV infections, aged 15-49","Per 100,000 population",54
"2015","New HIV infections, aged 15-49","Per 100,000 population",0.6
"2016","New HIV infections, aged 15-49","Per 100,000 population",0.64
"2017","New HIV infections, aged 15-49","Per 100,000 population",0.67
"2018","New HIV infections, aged 15-49","Per 100,000 population",0.76
"2019","New HIV infections, aged 15-49","Per 100,000 population",0.79
"2020","New HIV infections, aged 15-49","Per 100,000 population",0.85
"2021","New HIV infections, aged 15-49","Per 100,000 population",0.89
"2022","New HIV infections, aged 15-49","Per 100,000 population",0.94
"2023","New HIV infections, aged 15-49","Per 100,000 population",1
"2000","New HIV infections, aged 15-49, men","Per 100,000 population",74
"2001","New HIV infections, aged 15-49, men","Per 100,000 population",80
"2002","New HIV infections, aged 15-49, men","Per 100,000 population",84
"2003","New HIV infections, aged 15-49, men","Per 100,000 population",82
"2004","New HIV infections, aged 15-49, men","Per 100,000 population",79
"2005","New HIV infections, aged 15-49, men","Per 100,000 population",74
"2006","New HIV infections, aged 15-49, men","Per 100,000 population",66
"2007","New HIV infections, aged 15-49, men","Per 100,000 population",56
"2008","New HIV infections, aged 15-49, men","Per 100,000 population",48
"2009","New HIV infections, aged 15-49, men","Per 100,000 population",44
"2010","New HIV infections, aged 15-49, men","Per 100,000 population",43
"2011","New HIV infections, aged 15-49, men","Per 100,000 population",44
"2012","New HIV infections, aged 15-49, men","Per 100,000 population",43
"2013","New HIV infections, aged 15-49, men","Per 100,000 population",42
"2014","New HIV infections, aged 15-49, men","Per 100,000 population",42
"2015","New HIV infections, aged 15-49, men","Per 100,000 population",0.46
"2016","New HIV infections, aged 15-49, men","Per 100,000 population",0.47
"2017","New HIV infections, aged 15-49, men","Per 100,000 population",0.49
"2018","New HIV infections, aged 15-49, men","Per 100,000 population",0.55
"2019","New HIV infections, aged 15-49, men","Per 100,000 population",0.56
"2020","New HIV infections, aged 15-49, men","Per 100,000 population",0.6
"2021","New HIV infections, aged 15-49, men","Per 100,000 population",0.62
"2022","New HIV infections, aged 15-49, men","Per 100,000 population",0.65
"2023","New HIV infections, aged 15-49, men","Per 100,000 population",0.69
"2000","New HIV infections, aged 15-49, women","Per 100,000 population",102
"2001","New HIV infections, aged 15-49, women","Per 100,000 population",110
"2002","New HIV infections, aged 15-49, women","Per 100,000 population",116
"2003","New HIV infections, aged 15-49, women","Per 100,000 population",113
"2004","New HIV infections, aged 15-49, women","Per 100,000 population",109
"2005","New HIV infections, aged 15-49, women","Per 100,000 population",102
"2006","New HIV infections, aged 15-49, women","Per 100,000 population",91
"2007","New HIV infections, aged 15-49, women","Per 100,000 population",79
"2008","New HIV infections, aged 15-49, women","Per 100,000 population",68
"2009","New HIV infections, aged 15-49, women","Per 100,000 population",63
"2010","New HIV infections, aged 15-49, women","Per 100,000 population",62
"2011","New HIV infections, aged 15-49, women","Per 100,000 population",64
"2012","New HIV infections, aged 15-49, women","Per 100,000 population",65
"2013","New HIV infections, aged 15-49, women","Per 100,000 population",65
"2014","New HIV infections, aged 15-49, women","Per 100,000 population",67
"2015","New HIV infections, aged 15-49, women","Per 100,000 population",0.76
"2016","New HIV infections, aged 15-49, women","Per 100,000 population",0.81
"2017","New HIV infections, aged 15-49, women","Per 100,000 population",0.86
"2018","New HIV infections, aged 15-49, women","Per 100,000 population",0.99
"2019","New HIV infections, aged 15-49, women","Per 100,000 population",1
"2020","New HIV infections, aged 15-49, women","Per 100,000 population",1.1
"2021","New HIV infections, aged 15-49, women","Per 100,000 population",1.2
"2022","New HIV infections, aged 15-49, women","Per 100,000 population",1.2
"2023","New HIV infections, aged 15-49, women","Per 100,000 population",1.3
"2000","New HIV infections, aged 50+","Per 100,000 population",32
"2001","New HIV infections, aged 50+","Per 100,000 population",35
"2002","New HIV infections, aged 50+","Per 100,000 population",36
"2003","New HIV infections, aged 50+","Per 100,000 population",35
"2004","New HIV infections, aged 50+","Per 100,000 population",34
"2005","New HIV infections, aged 50+","Per 100,000 population",32
"2006","New HIV infections, aged 50+","Per 100,000 population",29
"2007","New HIV infections, aged 50+","Per 100,000 population",25
"2008","New HIV infections, aged 50+","Per 100,000 population",21
"2009","New HIV infections, aged 50+","Per 100,000 population",20
"2010","New HIV infections, aged 50+","Per 100,000 population",19
"2011","New HIV infections, aged 50+","Per 100,000 population",20
"2012","New HIV infections, aged 50+","Per 100,000 population",20
"2013","New HIV infections, aged 50+","Per 100,000 population",20
"2014","New HIV infections, aged 50+","Per 100,000 population",20
"2015","New HIV infections, aged 50+","Per 100,000 population",0.21
"2016","New HIV infections, aged 50+","Per 100,000 population",0.23
"2017","New HIV infections, aged 50+","Per 100,000 population",0.24
"2018","New HIV infections, aged 50+","Per 100,000 population",0.27
"2019","New HIV infections, aged 50+","Per 100,000 population",0.28
"2020","New HIV infections, aged 50+","Per 100,000 population",0.3
"2021","New HIV infections, aged 50+","Per 100,000 population",0.31
"2022","New HIV infections, aged 50+","Per 100,000 population",0.33
"2023","New HIV infections, aged 50+","Per 100,000 population",0.35
"2000","New HIV infections, aged 50+, men","Per 100,000 population",31
"2001","New HIV infections, aged 50+, men","Per 100,000 population",33
"2002","New HIV infections, aged 50+, men","Per 100,000 population",35
"2003","New HIV infections, aged 50+, men","Per 100,000 population",34
"2004","New HIV infections, aged 50+, men","Per 100,000 population",33
"2005","New HIV infections, aged 50+, men","Per 100,000 population",31
"2006","New HIV infections, aged 50+, men","Per 100,000 population",28
"2007","New HIV infections, aged 50+, men","Per 100,000 population",24
"2008","New HIV infections, aged 50+, men","Per 100,000 population",21
"2009","New HIV infections, aged 50+, men","Per 100,000 population",19
"2010","New HIV infections, aged 50+, men","Per 100,000 population",18
"2011","New HIV infections, aged 50+, men","Per 100,000 population",19
"2012","New HIV infections, aged 50+, men","Per 100,000 population",18
"2013","New HIV infections, aged 50+, men","Per 100,000 population",18
"2014","New HIV infections, aged 50+, men","Per 100,000 population",18
"2015","New HIV infections, aged 50+, men","Per 100,000 population",0.19
"2016","New HIV infections, aged 50+, men","Per 100,000 population",0.19
"2017","New HIV infections, aged 50+, men","Per 100,000 population",0.2
"2018","New HIV infections, aged 50+, men","Per 100,000 population",0.22
"2019","New HIV infections, aged 50+, men","Per 100,000 population",0.23
"2020","New HIV infections, aged 50+, men","Per 100,000 population",0.24
"2021","New HIV infections, aged 50+, men","Per 100,000 population",0.25
"2022","New HIV infections, aged 50+, men","Per 100,000 population",0.26
"2023","New HIV infections, aged 50+, men","Per 100,000 population",0.28
"2000","New HIV infections, aged 50+, women","Per 100,000 population",33
"2001","New HIV infections, aged 50+, women","Per 100,000 population",36
"2002","New HIV infections, aged 50+, women","Per 100,000 population",38
"2003","New HIV infections, aged 50+, women","Per 100,000 population",36
"2004","New HIV infections, aged 50+, women","Per 100,000 population",35
"2005","New HIV infections, aged 50+, women","Per 100,000 population",33
"2006","New HIV infections, aged 50+, women","Per 100,000 population",30
"2007","New HIV infections, aged 50+, women","Per 100,000 population",25
"2008","New HIV infections, aged 50+, women","Per 100,000 population",22
"2009","New HIV infections, aged 50+, women","Per 100,000 population",20
"2010","New HIV infections, aged 50+, women","Per 100,000 population",20
"2011","New HIV infections, aged 50+, women","Per 100,000 population",21
"2012","New HIV infections, aged 50+, women","Per 100,000 population",21
"2013","New HIV infections, aged 50+, women","Per 100,000 population",22
"2014","New HIV infections, aged 50+, women","Per 100,000 population",22
"2015","New HIV infections, aged 50+, women","Per 100,000 population",0.25
"2016","New HIV infections, aged 50+, women","Per 100,000 population",0.26
"2017","New HIV infections, aged 50+, women","Per 100,000 population",0.28
"2018","New HIV infections, aged 50+, women","Per 100,000 population",0.32
"2019","New HIV infections, aged 50+, women","Per 100,000 population",0.34
"2020","New HIV infections, aged 50+, women","Per 100,000 population",0.36
"2021","New HIV infections, aged 50+, women","Per 100,000 population",0.38
"2022","New HIV infections, aged 50+, women","Per 100,000 population",0.4
"2023","New HIV infections, aged 50+, women","Per 100,000 population",0.42
"2000","New HIV infections, all ages","Per 1,000 population",54
"2001","New HIV infections, all ages","Per 1,000 population",59
"2002","New HIV infections, all ages","Per 1,000 population",63
"2003","New HIV infections, all ages","Per 1,000 population",62
"2004","New HIV infections, all ages","Per 1,000 population",60
"2005","New HIV infections, all ages","Per 1,000 population",57
"2006","New HIV infections, all ages","Per 1,000 population",52
"2007","New HIV infections, all ages","Per 1,000 population",46
"2008","New HIV infections, all ages","Per 1,000 population",41
"2009","New HIV infections, all ages","Per 1,000 population",37
"2010","New HIV infections, all ages","Per 1,000 population",37
"2011","New HIV infections, all ages","Per 1,000 population",38
"2012","New HIV infections, all ages","Per 1,000 population",37
"2013","New HIV infections, all ages","Per 1,000 population",37
"2014","New HIV infections, all ages","Per 1,000 population",37
"2015","New HIV infections, all ages","Per 1,000 population",0.41
"2016","New HIV infections, all ages","Per 1,000 population",0.43
"2017","New HIV infections, all ages","Per 1,000 population",0.45
"2018","New HIV infections, all ages","Per 1,000 population",0.5
"2019","New HIV infections, all ages","Per 1,000 population",0.52
"2020","New HIV infections, all ages","Per 1,000 population",0.56
"2021","New HIV infections, all ages","Per 1,000 population",0.59
"2022","New HIV infections, all ages","Per 1,000 population",0.62
