"Year","Series_ID","Series","Unit","Value"
"2000",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",0.98456
"2001",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",0.99657
"2002",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.00618
"2003",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.01629
"2004",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.02647
"2005",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.03554
"2006",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.04411
"2007",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.05317
"2008",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.06352
"2009",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.07398
"2010",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.08571
"2011",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.09674
"2012",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.10811
"2013",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.11713
"2014",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.12524
"2015",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.13345
"2016",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.14248
"2017",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.15201
"2018",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.01553
"2019",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.16738
"2020",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.17399
"2021",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.18106
"2022",3387,"Completion rate, adjusted gender parity index, primary education","Ratio, total population",1.18695
"2016",1883,"Gender parity index for participation rate in organized learning (one year before the official primary entry age)","Female-to-male ratio",1.00351
"2018",1883,"Gender parity index for participation rate in organized learning (one year before the official primary entry age)","Female-to-male ratio",1.00608
