"Year","Series_ID","Series","Unit","Value"
"2000",860,"Above ground biomass in forest","Tons per hectare",176
"2010",860,"Above ground biomass in forest","Tons per hectare",176
"2015",860,"Above ground biomass in forest","Tons per hectare",176
"2016",860,"Above ground biomass in forest","Tons per hectare",176
"2017",860,"Above ground biomass in forest","Tons per hectare",176
"2018",860,"Above ground biomass in forest","Tons per hectare",176
"2019",860,"Above ground biomass in forest","Tons per hectare",176
"2020",860,"Above ground biomass in forest","Tons per hectare",176
"2010",1418,"Forest area net change rate","Percentage",-0.03
"2020",1418,"Forest area net change rate","Percentage",-0.09
"2000",861,"Forest area with a long-term management plan","Percentage",13.98
"2010",861,"Forest area with a long-term management plan","Percentage",13.98
"2015",861,"Forest area with a long-term management plan","Percentage",13.98
"2016",861,"Forest area with a long-term management plan","Percentage",13.98
"2017",861,"Forest area with a long-term management plan","Percentage",13.98
"2018",861,"Forest area with a long-term management plan","Percentage",13.98
"2019",861,"Forest area with a long-term management plan","Percentage",13.98
"2020",861,"Forest area with a long-term management plan","Percentage",13.98
"2000",862,"Forest area within legally established protected area","Percentage",3.78
"2010",862,"Forest area within legally established protected area","Percentage",3.78
"2015",862,"Forest area within legally established protected area","Percentage",3.78
"2016",862,"Forest area within legally established protected area","Percentage",3.78
"2017",862,"Forest area within legally established protected area","Percentage",3.78
"2018",862,"Forest area within legally established protected area","Percentage",3.78
"2019",862,"Forest area within legally established protected area","Percentage",3.78
"2020",862,"Forest area within legally established protected area","Percentage",3.78
"2000",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.01188049
"2010",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.007462916
"2015",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.1057616
"2016",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.1013896
"2017",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.1045156
"2018",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.1046132
"2019",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.1023704
"2020",3816,"Forest certified under an independently verified certification scheme","% of forest area",0.04197373
