Year,Series_ID,Series,Unit,Value
2000,794,Population practicing open defecation (%),% of population,12.77065
2001,794,Population practicing open defecation (%),% of population,12.77292
2002,794,Population practicing open defecation (%),% of population,12.77477
2003,794,Population practicing open defecation (%),% of population,12.77663
2004,794,Population practicing open defecation (%),% of population,12.77859
2005,794,Population practicing open defecation (%),% of population,12.99194
2006,794,Population practicing open defecation (%),% of population,13.20538
2007,794,Population practicing open defecation (%),% of population,13.4189
2008,794,Population practicing open defecation (%),% of population,13.63251
2009,794,Population practicing open defecation (%),% of population,13.84619
2010,794,Population practicing open defecation (%),% of population,14.05996
2011,794,Population practicing open defecation (%),% of population,14.27392
2012,794,Population practicing open defecation (%),% of population,14.48786
2013,794,Population practicing open defecation (%),% of population,14.70014
2014,794,Population practicing open defecation (%),% of population,14.91068
2015,794,Population practicing open defecation (%),% of population,14.6657466888428
2016,794,Population practicing open defecation (%),% of population,14.7807598114014
2017,794,Population practicing open defecation (%),% of population,14.8941011428833
2018,794,Population practicing open defecation (%),% of population,15.0056419372559
2019,794,Population practicing open defecation (%),% of population,15.1154937744141
2020,794,Population practicing open defecation (%),% of population,15.2236471176147
2021,794,Population practicing open defecation (%),% of population,15.3298540115356
2022,794,Population practicing open defecation (%),% of population,15.4342260360718
2023,794,Population practicing open defecation (%),% of population,15.5367498397827
2024,794,Population practicing open defecation (%),% of population,15.637300491333
2000,795,Population practicing open defecation (%),% of rural population,14.13085
2001,795,Population practicing open defecation (%),% of rural population,14.13085
2002,795,Population practicing open defecation (%),% of rural population,14.13085
2003,795,Population practicing open defecation (%),% of rural population,14.13085
2004,795,Population practicing open defecation (%),% of rural population,14.13085
2005,795,Population practicing open defecation (%),% of rural population,14.37215
2006,795,Population practicing open defecation (%),% of rural population,14.61344
2007,795,Population practicing open defecation (%),% of rural population,14.85474
2008,795,Population practicing open defecation (%),% of rural population,15.09604
2009,795,Population practicing open defecation (%),% of rural population,15.33734
2010,795,Population practicing open defecation (%),% of rural population,15.57864
2011,795,Population practicing open defecation (%),% of rural population,15.81994
2012,795,Population practicing open defecation (%),% of rural population,16.06123
2013,795,Population practicing open defecation (%),% of rural population,16.30253
2014,795,Population practicing open defecation (%),% of rural population,16.54383
2015,795,Population practicing open defecation (%),% of rural population,16.1993980407715
2016,795,Population practicing open defecation (%),% of rural population,16.3216190338135
2017,795,Population practicing open defecation (%),% of rural population,16.4438400268555
2018,795,Population practicing open defecation (%),% of rural population,16.5660629272461
