Year,Series_ID,Series,Unit,Value
2000,2087,Government revenue (budgetary central government),% of GDP,19.2232004231688
2001,2087,Government revenue (budgetary central government),% of GDP,18.465519764896
2002,2087,Government revenue (budgetary central government),% of GDP,15.6041715803775
2014,2087,Government revenue (budgetary central government),% of GDP,20.785645230006
2015,2087,Government revenue (budgetary central government),% of GDP,18.2959075502982
2016,2087,Government revenue (budgetary central government),% of GDP,16.1221499255058
2017,2087,Government revenue (budgetary central government),% of GDP,15.8918915992268
2018,2087,Government revenue (budgetary central government),% of GDP,17.7393067748677
2019,2087,Government revenue (budgetary central government),% of GDP,16.4855688016001
2020,2087,Government revenue (budgetary central government),% of GDP,14.8313620809672
