Year,Series_ID,Series,Unit,Value
2015,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
2016,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
2017,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
2018,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
2019,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
2020,1173,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national DRR strategies,Percentage,0
