Year,Series_ID,Series,Unit,Value
2005,913,Direct economic loss attributed to disasters,Million US dollars,0.0
2006,913,Direct economic loss attributed to disasters,Million US dollars,1.3041
2007,913,Direct economic loss attributed to disasters,Million US dollars,104.5629
2008,913,Direct economic loss attributed to disasters,Million US dollars,137.5755
2009,913,Direct economic loss attributed to disasters,Million US dollars,2.628375
2010,913,Direct economic loss attributed to disasters,Million US dollars,0.0
2011,913,Direct economic loss attributed to disasters,Million US dollars,0.0
2012,913,Direct economic loss attributed to disasters,Million US dollars,1.077375
2013,913,Direct economic loss attributed to disasters,Million US dollars,1.683
2014,913,Direct economic loss attributed to disasters,Million US dollars,0.0
2015,913,Direct economic loss attributed to disasters,Million US dollars,0.0
2019,913,Direct economic loss attributed to disasters,Million US dollars,13.3875
2020,913,Direct economic loss attributed to disasters,Million US dollars,1.66666875
