Year,Series_ID,Series,Unit,Value
2000,2087,Government revenue (budgetary central government),% of GDP,19.2232004231688
2001,2087,Government revenue (budgetary central government),% of GDP,18.465519764896
2002,2087,Government revenue (budgetary central government),% of GDP,15.6041715803775
2014,2087,Government revenue (budgetary central government),% of GDP,20.785645230006
2015,2087,Government revenue (budgetary central government),% of GDP,18.2959075502982
2016,2087,Government revenue (budgetary central government),% of GDP,16.1221499255058
2017,2087,Government revenue (budgetary central government),% of GDP,15.8918915992268
2018,2087,Government revenue (budgetary central government),% of GDP,17.7393067748677
2019,2087,Government revenue (budgetary central government),% of GDP,16.53765864
2020,2087,Government revenue (budgetary central government),% of GDP,14.65593844
2021,2087,Government revenue (budgetary central government),% of GDP,15.12723368
2022,2087,Government revenue (budgetary central government),% of GDP,16.66488954
2023,2087,Government revenue (budgetary central government),% of GDP,17.79435345
