Year,Series_ID,Series,Unit,Value
2000,395,FDI inflows,% of GDP,1.857232
2001,395,FDI inflows,% of GDP,1.375235
2002,395,FDI inflows,% of GDP,0.3967788
2003,395,FDI inflows,% of GDP,1.798727
2004,395,FDI inflows,% of GDP,0.4079924
2005,395,FDI inflows,% of GDP,0.455836
2006,395,FDI inflows,% of GDP,-0.08222816
2007,395,FDI inflows,% of GDP,1.003379
2008,395,FDI inflows,% of GDP,-0.2602146
2009,395,FDI inflows,% of GDP,3.642243
2010,395,FDI inflows,% of GDP,0.20257
2011,395,FDI inflows,% of GDP,-1.719188
2012,395,FDI inflows,% of GDP,0.1174172
2013,395,FDI inflows,% of GDP,0.08570582
2014,395,FDI inflows,% of GDP,-0.1309782
2015,395,FDI inflows,% of GDP,0.1287848
2016,395,FDI inflows,% of GDP,-0.1915559
2017,395,FDI inflows,% of GDP,-0.7922398
2018,395,FDI inflows,% of GDP,1.262245
2019,395,FDI inflows,% of GDP,1.354215
2020,395,FDI inflows,% of GDP,0.4686577
2021,395,FDI inflows,% of GDP,-0.04102307
2022,395,FDI inflows,% of GDP,1.450224
2023,395,FDI inflows,% of GDP,-1.287911
2016,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,6.22374
2017,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,0.00881
2019,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,4.14904
2020,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,0.10652
2021,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,5.0316
2022,7247,Gross receipts by developing countries of mobilised private finance (MPF) - on an experimental basis,Million US dollars,94.225
2019,7245,Gross receipts by developing countries of official concessional sustainable development loans,Million US dollars,119.21203
2020,7245,Gross receipts by developing countries of official concessional sustainable development loans,Million US dollars,591.88642
2021,7245,Gross receipts by developing countries of official concessional sustainable development loans,Million US dollars,185.57721
2022,7245,Gross receipts by developing countries of official concessional sustainable development loans,Million US dollars,151.97739
2019,7246,Gross receipts by developing countries of official non-concessional sustainable development loans,Million US dollars,234.32619
2020,7246,Gross receipts by developing countries of official non-concessional sustainable development loans,Million US dollars,603.66642
2021,7246,Gross receipts by developing countries of official non-concessional sustainable development loans,Million US dollars,610.95288
2022,7246,Gross receipts by developing countries of official non-concessional sustainable development loans,Million US dollars,354.59756
2019,7244,Gross receipts by developing countries of official sustainable development grants,Million US dollars,609.74019
2020,7244,Gross receipts by developing countries of official sustainable development grants,Million US dollars,522.62918
2021,7244,Gross receipts by developing countries of official sustainable development grants,Million US dollars,753.07751
2022,7244,Gross receipts by developing countries of official sustainable development grants,Million US dollars,584.77404
2016,7248,Gross receipts by developing countries of private grants,Million US dollars,1.02685
2017,7248,Gross receipts by developing countries of private grants,Million US dollars,0.87528
2018,7248,Gross receipts by developing countries of private grants,Million US dollars,0.97257
2019,7248,Gross receipts by developing countries of private grants,Million US dollars,1.37371
2020,7248,Gross receipts by developing countries of private grants,Million US dollars,1.3705
2021,7248,Gross receipts by developing countries of private grants,Million US dollars,1.28744
2022,7248,Gross receipts by developing countries of private grants,Million US dollars,2.70372
