Year,Series_ID,Series,Unit,Value
2004,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),8.14
2005,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),7.27
2007,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),5.73
2010,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),5.65
2013,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),1.75
2015,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),1.03
2016,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),1.11
2018,5517,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 10-14),1.0
2004,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),89.81
2005,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),86.88
2007,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),87.67
2010,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),91.4
2013,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),88.16
2015,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),76.67
2016,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),67.73
2018,2084,Adolescent fertility rate (SDG),Live births per 1 000 women (aged 15-19),68.0
