Year,Series_ID,Series,Unit,Value
2000,2561,Children moderately or severely overweight,% of children under 5,4.5
2001,2561,Children moderately or severely overweight,% of children under 5,4.8
2002,2561,Children moderately or severely overweight,% of children under 5,5.1
2003,2561,Children moderately or severely overweight,% of children under 5,5.5
2004,2561,Children moderately or severely overweight,% of children under 5,5.9
2005,2561,Children moderately or severely overweight,% of children under 5,6.4
2006,2561,Children moderately or severely overweight,% of children under 5,6.9
2007,2561,Children moderately or severely overweight,% of children under 5,7.4
2008,2561,Children moderately or severely overweight,% of children under 5,8.0
2009,2561,Children moderately or severely overweight,% of children under 5,8.6
2010,2561,Children moderately or severely overweight,% of children under 5,9.2
2011,2561,Children moderately or severely overweight,% of children under 5,9.8
2012,2561,Children moderately or severely overweight,% of children under 5,10.5
2013,2561,Children moderately or severely overweight,% of children under 5,11.3
2014,2561,Children moderately or severely overweight,% of children under 5,12.0
2015,2561,Children moderately or severely overweight,% of children under 5,12.7
2016,2561,Children moderately or severely overweight,% of children under 5,13.4
2017,2561,Children moderately or severely overweight,% of children under 5,14.1
2018,2561,Children moderately or severely overweight,% of children under 5,14.6
2019,2561,Children moderately or severely overweight,% of children under 5,15.1
2020,2561,Children moderately or severely overweight,% of children under 5,15.5
2021,2561,Children moderately or severely overweight,% of children under 5,15.8
2022,2561,Children moderately or severely overweight,% of children under 5,16.0
