Year,Series_ID,Series,Unit,Value
2000,409,"Material footprint, total",Tons per capita,2.80078
2001,409,"Material footprint, total",Tons per capita,4.70498
2002,409,"Material footprint, total",Tons per capita,2.75651
2003,409,"Material footprint, total",Tons per capita,3.30607
2004,409,"Material footprint, total",Tons per capita,2.98545
2005,409,"Material footprint, total",Tons per capita,3.46174
2006,409,"Material footprint, total",Tons per capita,4.55034
2007,409,"Material footprint, total",Tons per capita,4.69175
2008,409,"Material footprint, total",Tons per capita,4.94633
2009,409,"Material footprint, total",Tons per capita,5.47374
2010,409,"Material footprint, total",Tons per capita,5.92243
2011,409,"Material footprint, total",Tons per capita,6.8453
2012,409,"Material footprint, total",Tons per capita,6.58357
2013,409,"Material footprint, total",Tons per capita,3.99043
2014,409,"Material footprint, total",Tons per capita,3.23287
2015,409,"Material footprint, total",Tons per capita,3.06034
2016,409,"Material footprint, total",Tons per capita,3.01471
2017,409,"Material footprint, total",Tons per capita,2.81153
2018,409,"Material footprint, total",Tons per capita,2.69818
2019,409,"Material footprint, total",Tons per capita,2.18472
2020,409,"Material footprint, total",Tons per capita,3.33535
2021,409,"Material footprint, total",Tons per capita,3.43558
2022,409,"Material footprint, total",Tons per capita,3.41879
